Flight,Lattitude,Longtitude,Heading,Altitude,Speed,Time,DistanceToAirport
A7-BFD,41.1527,28.73,359,2600,179,2019-07-14 21:24:08.691435,11.971244610066249
TC-JJR,40.9953,29.3631,306,10325,247,2019-07-14 21:24:08.691467,59.730472050854004
TC-LOG,40.9935,28.389,87,5000,261,2019-07-14 21:24:10.879381,41.90939648755277
TC-JJI,41.0039,28.5524,79,4675,251,2019-07-14 21:24:10.879397,32.63549562971143
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:10.879404,3.0007466250447163
A7-BFD,41.1527,28.73,359,2600,179,2019-07-14 21:24:10.879409,11.971244610066249
TC-JJR,40.9953,29.3631,306,10325,247,2019-07-14 21:24:10.879415,59.730472050854004
TC-JYI,40.9498,28.1732,78,5575,258,2019-07-14 21:24:13.070601,58.891666297126356
TC-LOG,40.9938,28.3962,86,4925,261,2019-07-14 21:24:13.070671,41.461113450669615
TC-JJI,41.0046,28.5575,79,4650,247,2019-07-14 21:24:13.070707,32.36049083506988
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:13.070739,3.0007466250447163
A7-BFD,41.1569,28.7299,359,2525,171,2019-07-14 21:24:13.070767,11.506783567979676
TC-JJR,40.9985,29.3545,295,10225,245,2019-07-14 21:24:13.070797,58.9270319347445
TC-JYI,40.951,28.1809,78,5500,259,2019-07-14 21:24:15.282918,58.29068947744732
TC-LOG,40.994,28.4035,86,4850,261,2019-07-14 21:24:15.282986,41.01906151785765
TC-JJI,41.0051,28.5614,79,4650,246,2019-07-14 21:24:15.283021,32.15602915681246
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:15.283053,3.0007466250447163
A7-BFD,41.1569,28.7299,359,2525,171,2019-07-14 21:24:15.283083,11.506783567979676
TC-JJR,40.9996,29.3502,289,10175,244,2019-07-14 21:24:15.283113,58.55298533550571
TC-JYI,40.951,28.1809,78,5500,259,2019-07-14 21:24:17.494819,58.29068947744732
TC-LOG,40.994,28.4035,86,4850,261,2019-07-14 21:24:17.494889,41.01906151785765
TC-JJI,41.0057,28.5658,79,4650,243,2019-07-14 21:24:17.494924,31.924377496123135
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:17.494956,3.0007466250447163
A7-BFD,41.1569,28.7299,359,2525,171,2019-07-14 21:24:17.494985,11.506783567979676
TC-JJR,41.0002,29.3467,283,10125,244,2019-07-14 21:24:17.495015,58.264976571854575
TC-JYI,40.951,28.1809,78,5500,259,2019-07-14 21:24:19.689588,58.29068947744732
TC-LOG,40.994,28.4035,86,4850,261,2019-07-14 21:24:19.689659,41.01906151785765
TC-JJI,41.0057,28.5658,79,4650,243,2019-07-14 21:24:19.689694,31.924377496123135
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:19.689727,3.0007466250447163
A7-BFD,41.1569,28.7299,359,2525,171,2019-07-14 21:24:19.689756,11.506783567979676
TC-JJR,41.0002,29.3467,283,10125,244,2019-07-14 21:24:19.689787,58.264976571854575
TC-JYI,40.952,28.1879,78,5425,259,2019-07-14 21:24:21.889838,57.75148391620032
TC-LOG,40.9944,28.4125,86,4750,261,2019-07-14 21:24:21.889910,40.467684880176726
TC-JJI,41.0063,28.5701,79,4625,241,2019-07-14 21:24:21.889947,31.69928490663288
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:21.889979,3.0007466250447163
A7-BFD,41.1633,28.7298,358,2400,170,2019-07-14 21:24:21.890008,10.79905414232871
TC-JJR,41.0008,29.3409,278,10050,245,2019-07-14 21:24:21.890038,57.80998148790976
TC-JYI,40.952,28.1879,78,5425,259,2019-07-14 21:24:24.098774,57.75148391620032
TC-LOG,40.9944,28.4125,86,4750,261,2019-07-14 21:24:24.098846,40.467684880176726
TC-JJI,41.0063,28.5701,79,4625,241,2019-07-14 21:24:24.098883,31.69928490663288
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:24.098914,3.0007466250447163
A7-BFD,41.1633,28.7298,358,2400,170,2019-07-14 21:24:24.098943,10.79905414232871
TC-JJR,41.0008,29.3409,278,10050,245,2019-07-14 21:24:24.098972,57.80998148790976
TC-LOG,40.9944,28.4125,86,4750,261,2019-07-14 21:24:26.305285,40.467684880176726
TC-JJI,41.0069,28.5745,79,4625,239,2019-07-14 21:24:26.305365,31.47309760734461
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:26.305403,3.0007466250447163
A7-BFD,41.1633,28.7298,358,2400,170,2019-07-14 21:24:26.305433,10.79905414232871
TC-JJR,41.0012,29.3364,275,9975,246,2019-07-14 21:24:26.305462,57.46104611113163
TC-JYI,40.9534,28.1965,78,5325,259,2019-07-14 21:24:28.570573,57.07919071354571
TC-LOG,40.9948,28.4213,86,4675,261,2019-07-14 21:24:28.570646,39.934290372526256
TC-JJI,41.0081,28.5836,79,4600,235,2019-07-14 21:24:28.570682,31.01854439283371
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:28.570714,3.0007466250447163
A7-BFD,41.1633,28.7298,358,2400,170,2019-07-14 21:24:28.570742,10.79905414232871
TC-JJR,41.0014,29.3319,274,9925,246,2019-07-14 21:24:28.570770,57.12376508749834
TC-JYI,40.9534,28.1965,78,5325,259,2019-07-14 21:24:30.758801,57.07919071354571
TC-LOG,40.9948,28.4213,86,4675,261,2019-07-14 21:24:30.758873,39.934290372526256
TC-JJI,41.0081,28.5836,79,4600,235,2019-07-14 21:24:30.758909,31.01854439283371
UR-PSC,41.2352,28.7283,359,1400,138,2019-07-14 21:24:30.758942,3.0007466250447163
